#,HBALL,HBW,HBE,HBO,SIZE,M,F,EMP,EDU,AGEA,AGEB,AGEC,AGED,AGEE,DRV,CAR,INC,HHTYP
1,4,0,0,4,2,1,1,0,0,0,0,0,1,1,0,0,1.5,1
2,8,1,1,6,4,1,3,1,2,0,2,2,0,0,1,0,4.5,1
3,9,2,3,4,6,3,3,2,3,2,2,1,1,0,2,1,4.5,1
4,4,2,2,0,4,3,1,2,1,2,1,1,0,0,0,0,3,1
5,17,3,6,8,8,4,4,1,6,3,3,2,0,0,4,1,4,1
6,4,1,0,3,3,1,2,1,0,0,1,0,2,0,0,0,3,1
7,7,2,1,4,3,1,2,1,1,1,1,1,0,0,1,1,3,1
8,8,2,2,4,6,5,1,2,3,0,4,0,2,0,6,1,7,1
9,12,1,4,7,6,4,2,1,4,3,1,2,0,0,0,0,2,1
10,11,3,4,4,7,3,4,2,4,2,3,1,1,0,1,0,2.2,1
11,8,1,3,4,6,2,4,2,3,2,1,1,2,0,1,0,5,1
12,9,2,2,5,4,2,2,1,2,2,1,1,0,0,1,1,3.5,1
13,6,2,1,3,3,1,2,2,1,0,1,0,2,0,3,3,6,1
14,5,1,3,1,5,2,3,1,3,1,2,1,1,0,3,1,5,1
15,7,1,3,3,5,3,2,1,3,2,1,1,1,0,2,1,7,1
16,6,1,3,2,5,1,4,1,3,3,0,2,0,0,0,0,4,0
17,4,1,0,3,2,1,1,1,0,0,1,1,0,0,1,0,2,1
18,9,2,1,6,4,2,2,2,1,0,3,0,1,0,2,0,5,1
19,6,0,2,4,3,1,2,0,2,0,2,1,0,0,1,1,5,1
20,6,1,1,4,3,1,2,1,1,0,1,0,2,0,0,0,6,1
21,6,0,2,4,3,2,1,0,2,1,1,1,0,0,0,0,1.5,1
22,9,1,3,5,5,2,3,1,3,3,1,1,0,0,0,0,3,1
23,9,3,3,3,6,4,2,3,3,1,3,2,0,0,3,1,6,1
24,7,0,3,4,6,2,4,0,3,2,2,1,1,0,0,0,3,1
25,9,2,4,3,7,2,5,2,4,3,2,2,0,0,0,0,5,1
26,4,0,1,3,5,2,3,1,1,0,3,0,0,2,1,1,3,1
27,8,1,4,3,6,3,3,2,4,3,1,2,0,0,1,1,2.5,1
28,5,3,0,2,2,1,1,1,0,0,2,0,0,0,1,1,2.5,1
29,5,2,0,3,2,1,1,1,1,0,2,0,0,0,1,1,3,1
30,7,3,0,4,4,3,1,3,0,0,2,2,0,0,2,1,9,1
31,4,0,1,3,3,1,2,0,1,0,1,0,1,1,1,1,3,1
32,4,1,0,3,2,1,1,1,0,0,1,0,0,1,1,1,5,1
33,3,0,0,3,2,1,1,0,0,0,0,0,2,0,2,1,7,1
34,8,2,2,4,4,3,1,1,2,2,1,1,0,0,2,1,5,1
35,6,3,1,2,4,1,3,2,1,0,2,0,2,0,3,1,5,1
36,9,4,0,5,4,2,2,4,0,0,2,1,1,0,3,2,10,1
37,7,4,1,2,5,3,2,4,1,1,2,0,2,0,4,1,10,1
38,5,2,1,2,3,1,2,2,1,1,1,1,0,0,1,0,5,1
39,8,2,2,4,5,2,3,2,2,2,1,1,1,0,2,1,5,1
40,4,2,1,1,3,1,2,1,1,1,0,2,0,0,1,1,10,1
41,5,1,1,3,2,1,1,1,1,0,2,0,0,0,1,0,4,1
42,8,1,3,4,6,3,3,1,3,0,4,2,0,0,0,0,5,1
43,11,2,3,6,7,3,4,2,3,3,2,2,0,0,2,1,4,1
44,3,0,2,1,4,2,2,0,1,1,0,1,0,2,1,1,3,1
45,2,1,0,1,2,0,2,1,0,0,0,1,1,0,0,0,1.5,1
46,9,0,7,2,9,4,5,1,7,5,2,1,1,0,0,0,6,1
47,7,2,1,4,4,2,2,2,1,1,1,2,0,0,0,0,8,1
48,7,0,3,4,5,2,3,0,3,2,2,0,1,0,0,0,2,1
49,4,1,0,3,2,1,1,1,0,0,2,0,0,0,1,1,5,1
50,3,2,0,1,2,1,1,1,0,0,0,0,0,2,1,1,2,1
51,7,2,3,2,5,2,3,1,3,3,0,2,0,0,2,1,3,0
52,5,0,1,4,3,2,1,0,1,0,1,0,1,1,3,1,6,1
53,8,5,0,3,4,3,1,3,0,0,2,0,2,0,3,1,12,1
54,7,3,1,3,5,3,2,3,1,0,3,0,2,1,1,1,10,1
55,4,1,0,3,3,1,2,2,0,0,0,1,0,2,0,0,2,1
56,9,4,0,5,5,4,1,4,0,0,3,0,2,0,3,1,5,1
57,4,2,0,2,3,1,2,1,0,0,1,1,1,0,1,0,1.5,1
58,2,2,0,0,2,1,1,1,0,0,2,0,0,0,1,1,5,0
59,3,1,0,2,2,1,1,1,0,0,0,2,0,0,0,0,3,1
60,4,1,1,2,2,1,1,1,1,0,1,1,0,0,1,0,8,1
61,6,2,0,4,2,1,1,2,0,0,1,1,0,0,2,0,5,1
62,9,3,2,4,7,4,3,3,3,2,2,0,2,1,2,1,7,1
63,3,0,1,2,3,2,1,1,1,1,2,0,0,0,1,0,2,1
64,7,3,2,2,6,3,3,3,2,3,1,2,0,0,1,1,3.5,1
65,7,1,1,5,7,2,5,3,1,1,2,1,2,1,1,0,4,1
66,5,2,2,1,4,3,1,1,2,2,0,2,0,0,2,1,3,0
67,8,2,2,4,4,1,3,1,2,0,2,1,1,0,2,0,3,0
68,7,2,2,3,4,3,1,2,2,1,1,2,0,0,3,1,6.5,0
69,2,1,1,0,3,2,1,1,1,1,1,1,0,0,1,0,5.5,0
70,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1.5,1
71,6,2,2,2,4,3,1,1,2,2,0,1,1,0,0,0,1.7,0
72,5,3,0,2,4,3,1,2,0,0,2,0,2,0,2,1,6,1
73,6,2,3,1,5,2,3,2,3,1,2,0,2,0,2,1,8,1
74,11,0,4,7,6,2,4,1,4,2,2,2,0,0,3,1,3.5,1
75,6,2,1,3,5,2,3,2,1,0,3,0,1,1,3,0,4,1
76,5,2,2,1,4,2,2,2,2,2,0,2,0,0,2,1,6,1
77,8,2,3,3,5,3,2,2,3,2,1,2,0,0,0,0,8,1
78,4,0,0,4,3,1,2,0,0,0,0,1,1,1,0,0,2,1
79,3,1,0,2,3,2,1,1,1,1,1,1,0,0,1,0,3.5,1
80,5,1,0,4,3,1,2,1,0,0,0,2,1,0,0,0,3,1
81,6,2,1,3,3,2,1,2,1,1,1,0,1,0,1,0,5,1
82,11,3,2,6,6,5,1,3,2,2,2,1,0,1,1,0,8,1
83,7,4,1,2,4,3,1,3,1,0,2,2,0,0,3,1,10,1
84,9,1,2,6,4,2,2,2,2,2,0,2,0,0,1,1,4,1
85,10,2,3,5,5,2,3,1,3,3,0,2,0,0,1,1,2.8,1
86,9,1,3,5,5,2,3,1,2,3,1,1,0,0,1,0,2.4,1
87,12,2,3,7,6,3,3,1,3,2,2,2,0,0,2,0,3.7,1
88,8,4,1,3,6,4,2,4,1,1,3,0,2,0,4,2,10,1
89,15,4,3,8,7,4,3,4,3,2,3,1,1,0,4,0,10,1
90,7,0,1,6,3,1,2,0,1,0,1,0,2,0,1,1,1.5,1
91,4,1,3,0,5,3,2,1,3,3,0,1,1,0,1,0,2,1
